Latitude,Longitude,Timestep
57.015446,9.985828,1399
57.015446,9.985826,1505
57.015446,9.985828,1605
57.015438,9.985830,1707
57.015438,9.985830,1807
57.015438,9.985834,1906
57.015438,9.985834,2007
57.015438,9.985835,2106
57.015438,9.985834,2207
57.015438,9.985830,2307
57.015446,9.985828,2407
57.015446,9.985826,2507
57.015446,9.985825,2606
57.015446,9.985824,2707
57.015446,9.985822,2807
57.015446,9.985822,2907
57.015446,9.985822,3008
57.015446,9.985824,3103
57.015446,9.985824,3203
57.015446,9.985826,3308
57.015446,9.985826,3407
57.015446,9.985828,3507
57.015446,9.985828,3607
57.015446,9.985828,3706
57.015446,9.985826,3808
57.015446,9.985824,3904
57.015446,9.985820,4005
57.015450,9.985817,4106
57.015450,9.985817,4205
57.015450,9.985815,4305
57.015450,9.985814,4405
57.015450,9.985814,4504
57.015450,9.985812,4605
57.015450,9.985809,4705
57.015450,9.985809,4804
57.015450,9.985808,4904
57.015450,9.985808,5007
57.015450,9.985806,5104
57.015450,9.985805,5207
57.015457,9.985804,5307
57.015457,9.985802,5407
57.015457,9.985802,5506
57.015457,9.985804,5606
57.015457,9.985804,5698
57.015457,9.985804,5800
57.015457,9.985802,5898
57.015457,9.985799,6006
57.015457,9.985797,6106
57.015457,9.985794,6210
57.015465,9.985790,6306
57.015465,9.985786,6407
57.015465,9.985784,6499
57.015465,9.985780,6597
57.015465,9.985777,6697
57.015465,9.985775,6798
57.015465,9.985774,6899
57.015465,9.985774,6998
57.015465,9.985774,7099
57.015465,9.985775,7201
57.015465,9.985777,7298
57.015465,9.985779,7400
57.015465,9.985779,7499
57.015465,9.985779,7598
57.015465,9.985779,7698
57.015465,9.985779,7798
57.015465,9.985777,7898
57.015465,9.985779,7998
57.015465,9.985779,8102
57.015465,9.985780,8204
57.015465,9.985782,8303
57.015465,9.985784,8405
57.015465,9.985784,8503
57.015465,9.985784,8598
57.015465,9.985784,8698
57.015465,9.985784,8798
57.015457,9.985785,8898
57.015457,9.985786,8999
57.015457,9.985788,9098
57.015457,9.985790,9198
57.015457,9.985792,9300
57.015457,9.985794,9399
57.015457,9.985795,9499
57.015457,9.985797,9598
57.015457,9.985799,9698
57.015457,9.985799,9797
57.015457,9.985800,9898
57.015457,9.985802,9998
57.015457,9.985804,10097
57.015457,9.985804,10198
