GPS log at 10hz
Latitude,Longitude,Timestep
570159733,99844417,31500
570159750,99844433,31601
570159767,99844433,31701
570159767,99844417,31801
570159767,99844433,31900
570159767,99844467,32000
570159767,99844483,32100
570159750,99844517,32201
570159750,99844550,32301
570159733,99844583,32401
570159750,99844583,32501
570159733,99844617,32601
570159733,99844650,32701
570159733,99844667,32801
570159750,99844683,32900
570159733,99844700,32999
570159733,99844717,33101
570159717,99844733,33201
570159700,99844750,33301
570159700,99844767,33401
570159700,99844767,33500
570159683,99844783,33601
570159667,99844800,33701
570159667,99844817,33800
570159650,99844833,33901
570159633,99844833,34001
570159633,99844833,34101
570159633,99844833,34199
570159633,99844833,34300
570159600,99844900,34407
570159583,99844983,34501
570159550,99845033,34601
570159550,99845067,34700
570159533,99845100,34799
570159517,99845150,34901
570159500,99845200,35000
570159483,99845233,35101
570159483,99845250,35200
570159500,99845267,35300
570159500,99845300,35400
570159500,99845317,35501
570159500,99845317,35591
570159500,99845333,35700
570159517,99845333,35801
570159517,99845350,35901
570159533,99845333,36001
570159533,99845333,36100
570159533,99845317,36199
570159550,99845300,36300
570159550,99845283,36400
570159567,99845267,36501
570159583,99845250,36601
570159583,99845250,36701
570159600,99845233,36800
570159600,99845217,36901
570159600,99845217,37001
570159617,99845200,37091
570159617,99845183,37191
570159633,99845150,37291
570159650,99845133,37391
570159667,99845100,37492
570159683,99845083,37591
570159717,99845033,37691
570159733,99845000,37791
570159750,99844967,37892
570159767,99844933,37992
570159800,99844883,38091
570159817,99844833,38200
570159850,99844783,38301
570159850,99844800,38407
570159850,99844800,38500
570159850,99844817,38601
570159850,99844833,38700
570159833,99844867,38800
570159833,99844900,38900
570159817,99844933,38999
570159800,99844967,39100
570159783,99845017,39200
570159767,99845050,39300
570159750,99845083,39392
570159733,99845133,39501
570159733,99845150,39600
570159733,99845167,39699
570159717,99845183,39800
570159717,99845200,39891
570159700,99845200,39991
570159700,99845217,40091
570159700,99845233,40191
570159700,99845217,40291
570159717,99845200,40391
570159717,99845183,40491
570159733,99845150,40591
570159733,99845133,40691
570159750,99845100,40791
570159750,99845083,40891
570159750,99845067,40991
570159750,99845050,41091
570159767,99845033,41191
570159767,99845000,41290
570159767,99844983,41392
570159767,99844967,41494
570159767,99844950,41590
570159783,99844933,41691
570159783,99844917,41791
570159783,99844900,41891
570159800,99844883,41990
570159800,99844867,42091
570159800,99844850,42190
570159800,99844833,42291
570159817,99844833,42395
570159817,99844817,42491
570159817,99844817,42590
570159833,99844800,42690
570159833,99844800,42790
570159850,99844783,42891
570159850,99844767,42990
570159867,99844750,43090
570159867,99844733,43192
570159883,99844717,43291
570159883,99844700,43393
570159900,99844700,43491
570159900,99844683,43590
570159917,99844667,43690
570159917,99844650,43790
570159933,99844633,43890
570159933,99844633,43990
570159950,99844617,44090
570159950,99844600,44190
570159967,99844600,44290
570159967,99844600,44389
570159967,99844583,44491
570159983,99844583,44591
570159983,99844567,44690
570160000,99844533,44790
570160017,99844533,44890
570160017,99844533,44994
570160033,99844517,45091
570160067,99844467,45191
570160100,99844417,45291
570160133,99844367,45391
570160167,99844333,45490
570160183,99844317,45591
570160233,99844267,45691
570160267,99844233,45791
570160317,99844183,45892
570160383,99844083,45991
570160450,99843967,46090
570160533,99843850,46191
570160583,99843767,46290
570160567,99843800,46394
570160567,99843833,46490
570160600,99843817,46590
570160600,99843833,46690
570160600,99843833,46791
570160617,99843817,46890
570160650,99843783,46991
570160667,99843750,47091
570160683,99843733,47191
570160700,99843700,47290
570160733,99843650,47390
570160767,99843600,47492
570160800,99843550,47590
570160833,99843500,47691
570160867,99843467,47790
570160883,99843433,47891
570160900,99843417,47989
570160917,99843400,48089
570160933,99843350,48189
570160983,99843283,48289
570161033,99843183,48389
570161083,99843100,48489
570161133,99843033,48590
570161183,99842933,48690
570161250,99842850,48790
570161283,99842767,48891
570161350,99842667,48990
570161383,99842617,49090
570161400,99842583,49191
570161417,99842550,49291
570161450,99842500,49390
570161500,99842433,49491
570161533,99842367,49590
570161567,99842317,49691
570161617,99842233,49790
570161667,99842117,49890
570161717,99842033,49990
570161767,99841933,50091
570161817,99841867,50190
570161850,99841817,50291
570161833,99841867,50398
570161817,99841900,50490
570161833,99841867,50590
570161833,99841867,50690
570161867,99841833,50791
570161883,99841800,50894
570161883,99841800,50990
570161883,99841800,51090
570161883,99841800,51191
570161900,99841783,51290
570161917,99841767,51390
570161933,99841717,51491
570161967,99841683,51590
570162000,99841617,51690
570162050,99841567,51791
570162083,99841500,51890
570162133,99841450,51990
570162167,99841383,52090
570162233,99841300,52191
570162283,99841217,52290
570162333,99841133,52390
570162367,99841067,52490
570162400,99841000,52590
570162433,99840967,52690
570162450,99840933,52790
570162483,99840883,52890
570162517,99840833,52990
570162533,99840800,53090
570162567,99840750,53192
570162600,99840683,53290
570162633,99840633,53390
570162650,99840583,53491
570162667,99840533,53589
570162700,99840483,53690
570162750,99840417,53789
570162783,99840333,53889
570162850,99840217,53990
570162900,99840150,54089
570162950,99840067,54189
570162983,99839983,54289
570162983,99840000,54395
570163000,99839983,54489
570163033,99839950,54589
570163050,99839900,54690
570163067,99839883,54790
570163100,99839833,54891
570163133,99839800,54990
570163150,99839767,55091
570163183,99839750,55190
570163200,99839717,55290
570163217,99839667,55390
570163250,99839617,55492
570163283,99839567,55590
570163300,99839533,55690
570163317,99839500,55791
570163350,99839467,55889
570163383,99839433,55990
570163400,99839383,56089
570163433,99839333,56189
570163467,99839267,56289
570163500,99839183,56391
570163533,99839117,56491
570163567,99839067,56589
570163600,99839017,56690
570163633,99838967,56789
570163667,99838900,56889
570163700,99838833,56989
570163750,99838783,57089
570163783,99838717,57190
570163817,99838650,57289
570163850,99838600,57389
570163883,99838550,57489
570163900,99838500,57591
570163933,99838467,57690
570163967,99838417,57790
570164000,99838350,57889
570164033,99838283,57991
570164067,99838217,58089
570164117,99838133,58190
570164167,99838033,58289
570164200,99837983,58397
570164217,99837933,58491
570164250,99837883,58589
570164283,99837833,58689
570164283,99837817,58791
570164300,99837800,58889
570164317,99837767,58991
570164333,99837733,59089
570164367,99837700,59192
570164383,99837650,59289
570164417,99837600,59391
570164450,99837533,59494
570164467,99837483,59590
570164483,99837433,59690
570164500,99837400,59795
570164517,99837367,59892
570164533,99837333,59990
570164533,99837317,60090
570164533,99837317,60191
570164550,99837300,60291
570164550,99837283,60394
570164550,99837267,60492
570164567,99837233,60592
570164583,99837200,60692
570164617,99837150,60792
570164633,99837117,60891
570164650,99837083,61003
570164667,99837050,61103
570164683,99837017,61194
570164700,99836967,61294
570164733,99836933,61395
570164750,99836883,61493
570164767,99836833,61593
570164800,99836783,61693
570164833,99836733,61793
570164867,99836650,61893
570164917,99836567,61993
570164950,99836467,62092
570165000,99836367,62192
570165033,99836317,62293
570165050,99836283,62396
570165050,99836267,62490
570165083,99836233,62593
570165100,99836183,62692
570165100,99836167,62794
570165100,99836183,62893
570165100,99836200,62994
570165083,99836217,63091
570165100,99836217,63194
570165117,99836183,63292
570165133,99836150,63390
570165167,99836083,63490
570165183,99836050,63592
570165217,99835983,63692
570165233,99835917,63790
570165267,99835867,63891
570165283,99835817,63990
570165317,99835767,64090
570165350,99835717,64190
570165383,99835667,64291
570165417,99835600,64390
570165450,99835533,64490
570165467,99835467,64590
570165500,99835417,64690
570165517,99835367,64792
570165550,99835317,64891
570165583,99835267,64991
570165600,99835233,65092
570165633,99835150,65191
570165667,99835083,65291
570165700,99835017,65392
570165733,99834950,65493
570165733,99834933,65592
570165767,99834883,65694
570165800,99834817,65792
570165817,99834750,65892
570165850,99834700,65992
570165867,99834650,66092
570165900,99834583,66192
570165933,99834500,66293
570165917,99834550,66399
570165917,99834567,66494
570165917,99834550,66592
570165917,99834550,66692
570165917,99834567,66793
570165900,99834567,66890
570165900,99834583,66992
570165900,99834583,67092
570165900,99834583,67193
570165900,99834600,67293
570165900,99834600,67394
570165900,99834600,67493
570165900,99834583,67593
570165900,99834567,67693
570165900,99834567,67793
570165917,99834533,67891
570165917,99834517,67992
570165950,99834483,68093
570165967,99834433,68193
570166000,99834400,68293
570166017,99834367,68392
570166050,99834317,68493
570166067,99834283,68593
570166083,99834233,68694
570166117,99834200,68791
570166150,99834150,68892
570166200,99834067,68994
570166233,99833983,69092
570166267,99833917,69194
570166300,99833833,69292
570166333,99833767,69392
570166383,99833700,69493
570166383,99833683,69590
570166417,99833633,69693
570166450,99833550,69793
570166483,99833500,69890
570166517,99833450,69990
570166550,99833367,70090
570166583,99833317,70193
570166617,99833250,70293
570166600,99833283,70397
570166583,99833317,70493
570166600,99833317,70593
570166600,99833333,70692
570166600,99833333,70793
570166617,99833333,70893
570166617,99833333,70993
570166633,99833317,71094
570166633,99833300,71193
570166650,99833267,71290
570166683,99833233,71393
570166700,99833200,71493
570166717,99833150,71594
570166733,99833117,71692
570166750,99833083,71792
570166767,99833050,71891
570166800,99833017,71992
570166817,99832983,72091
570166817,99832967,72192
570166833,99832933,72291
570166867,99832900,72393
570166883,99832850,72492
570166883,99832850,72589
570166900,99832817,72692
570166933,99832783,72790
570166950,99832750,72891
570166967,99832717,72990
570166983,99832683,73090
570167033,99832600,73193
570167067,99832517,73290
570167117,99832417,73392
570167183,99832300,73492
570167200,99832250,73590
570167233,99832167,73690
570167283,99832083,73791
570167333,99831983,73890
570167383,99831900,73990
570167433,99831800,74090
570167500,99831667,74190
570167567,99831517,74290
570167550,99831567,74397
570167517,99831617,74490
570167533,99831617,74590
570167517,99831633,74691
570167517,99831650,74790
570167517,99831650,74890
570167517,99831633,74990
570167517,99831633,75090
570167533,99831600,75192
570167533,99831583,75290
570167533,99831583,75391
570167567,99831533,75491
570167583,99831500,75593
570167600,99831467,75692
570167633,99831433,75791
570167650,99831383,75892
570167683,99831350,75991
570167700,99831317,76091
570167733,99831267,76190
570167767,99831217,76291
570167783,99831167,76393
570167800,99831133,76494
570167817,99831100,76594
570167833,99831067,76692
570167867,99831000,76793
570167900,99830950,76893
570167933,99830867,76992
570167967,99830783,77092
